,index,ภาค,จังหวัด,รายการย่อย,year,ประเภทผู้เยี่ยมเยือน,จำนวนผู้เยี่ยมเยือน (คน)
0,21440,ภาคใต้,ภูเก็ต,รวม,2552,รวม,3375931.0
1,21441,ภาคใต้,ภูเก็ต,รวม,2553,รวม,5471218.0
2,21442,ภาคใต้,ภูเก็ต,รวม,2554,รวม,9467248.0
3,21443,ภาคใต้,ภูเก็ต,รวม,2555,รวม,10789647.0
4,21444,ภาคใต้,ภูเก็ต,รวม,2556,รวม,11960044.0
5,21445,ภาคใต้,ภูเก็ต,รวม,2557,รวม,11958603.0
6,21446,ภาคใต้,ภูเก็ต,รวม,2558,รวม,13203284.0
7,21447,ภาคใต้,ภูเก็ต,รวม,2559,รวม,13410658.0
8,21448,ภาคใต้,ภูเก็ต,รวม,2560,รวม,14012863.0
9,21449,ภาคใต้,ภูเก็ต,รวม,2561,รวม,14409212.0
10,21450,ภาคใต้,ภูเก็ต,รวม,2552,ชาวไทย,887365.0
11,21451,ภาคใต้,ภูเก็ต,รวม,2553,ชาวไทย,965192.0
12,21452,ภาคใต้,ภูเก็ต,รวม,2554,ชาวไทย,2844472.0
13,21453,ภาคใต้,ภูเก็ต,รวม,2555,ชาวไทย,3233542.0
14,21454,ภาคใต้,ภูเก็ต,รวม,2556,ชาวไทย,3564123.0
15,21455,ภาคใต้,ภูเก็ต,รวม,2557,ชาวไทย,3499187.0
16,21456,ภาคใต้,ภูเก็ต,รวม,2558,ชาวไทย,3714328.0
17,21457,ภาคใต้,ภูเก็ต,รวม,2559,ชาวไทย,3768955.0
18,21458,ภาคใต้,ภูเก็ต,รวม,2560,ชาวไทย,3903481.0
19,21459,ภาคใต้,ภูเก็ต,รวม,2561,ชาวไทย,4057904.0
20,21460,ภาคใต้,ภูเก็ต,รวม,2552,ชาวต่างประเทศ,2488566.0
21,21461,ภาคใต้,ภูเก็ต,รวม,2553,ชาวต่างประเทศ,4506026.0
22,21462,ภาคใต้,ภูเก็ต,รวม,2554,ชาวต่างประเทศ,6622776.0
23,21463,ภาคใต้,ภูเก็ต,รวม,2555,ชาวต่างประเทศ,7556105.0
24,21464,ภาคใต้,ภูเก็ต,รวม,2556,ชาวต่างประเทศ,8395921.0
25,21465,ภาคใต้,ภูเก็ต,รวม,2557,ชาวต่างประเทศ,8459416.0
26,21466,ภาคใต้,ภูเก็ต,รวม,2558,ชาวต่างประเทศ,9488956.0
27,21467,ภาคใต้,ภูเก็ต,รวม,2559,ชาวต่างประเทศ,9641703.0
28,21468,ภาคใต้,ภูเก็ต,รวม,2560,ชาวต่างประเทศ,10109382.0
29,21469,ภาคใต้,ภูเก็ต,รวม,2561,ชาวต่างประเทศ,10351308.0
30,21470,ภาคใต้,ภูเก็ต,จำนวนนักท่องเที่ยว,2552,รวม,3126558.0
31,21471,ภาคใต้,ภูเก็ต,จำนวนนักท่องเที่ยว,2553,รวม,5120761.0
32,21472,ภาคใต้,ภูเก็ต,จำนวนนักท่องเที่ยว,2554,รวม,8891039.0
33,21473,ภาคใต้,ภูเก็ต,จำนวนนักท่องเที่ยว,2555,รวม,10211885.0
34,21474,ภาคใต้,ภูเก็ต,จำนวนนักท่องเที่ยว,2556,รวม,11339885.0
